id,Sample Code,soilSource,soilRange,soilSite,seedRange,combo,patchType,seedSite,Sample Name,feature count,shannon_r1000,shannon
inv_wash_101,M101,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,GIL,792 GIL GIL,14353,5.514283051,5.55196691
inv_wash_102,M102,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,LEB,443 LEB RB,14912,5.709792008,5.745697852
inv_wash_103,M103,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,GIL,591 GIL GIL,6641,4.464278659,4.474300585
inv_wash_106,M106,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,LEB,297 LEB RB,16088,5.809128912,5.86370293
inv_wash_107,M107,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,GRA,51 GRA RB,40688,6.794770046,6.881031678
inv_wash_110,M110,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,LEB,765 LEB RB,4348,4.186208501,4.195431586
inv_wash_112,M112,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,TRI,547 TRI LEB,2826,2.267529932,2.282293867
inv_wash_114,M114,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,TRI,593 TRI GIL,8478,4.928293244,4.971510611
inv_wash_149,M149,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,CAN,277*** CAN TRI,49515,6.752850189,6.850597105
inv_wash_157,M157,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,CAN,329 CAN LEB,7484,4.947433104,4.970512187
inv_wash_169,M169,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,RB,34 RB GIL,33244,6.463990742,6.474573223
inv_wash_173,M173,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,RB,327 RB GIL,28040,6.605081404,6.621434593
inv_wash_175,M175,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,SAZ,30 SAZ GIL,22451,6.046513374,6.031644238
inv_wash_44,M44,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,RB,541 RB LEB,6211,4.278663342,4.389332616
